token_id,level1.level2.level3,level1,level2,level3,test_token,token,additional_info,,
1,Temporal.Synchronous,Temporal,Synchronous,,y,"Knowing a tasty – and free – meal when they eat one, the executives gave the chefs a standing ovation.",,,
2,Temporal.Synchronous,Temporal,Synchronous,,y,"The company is operating under Chapter 11 of the federal Bankruptcy Code, giving it court protection from creditors’ lawsuits while it attempts to work out a plan to pay its debts. ",,FAs,
3,temporal.synchronous,temporal,synchronous,,y,For Ms. Cunningham the architectural discombobulation matched the discrepancy she felt living in the AnaMor Towers as a little girl.,(Implicit=when),FAs with verb forms,
4,Temporal.Synchronous,Temporal,Synchronous,,y,"Then, in late-afternoon trading, hundred-thousand-share buy orders for UAL hit the market, including a 200,000-share order through Bear Stearns that seemed to spark UAL’s late price surge. Almost simultaneously, PaineWebber began a very visible buy program for dozens of stocks.",,,
5,Temporal.Synchronous,Temporal,Synchronous,,y,"But as the fright began to spread through the S&P pit, the big brokerage firms came in and bought futures aggressively.",,,
6,temporal.synchronous,temporal,synchronous,,y,"Turned loose in Shane Longman’s trading room, the yuppie dealers do little right.",(Implicit=When),(As a result of being),
7,Temporal.Synchronous,Temporal,Synchronous,,y,"The parishioners of St. Michael and All Angels stop to chat at the church door, as members here always have. In the tower, five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614.",(Implicit=while),,
8,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y," A buffet breakfast was held in the museum, where food and drinks are banned to everyday visitors. Then, in the guests’ honor, the speedway hauled out four drivers, crews and even the official Indianapolis 500 announcer for a 10-lap exhibition race. ",,,
9,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y,"Back downtown, the execs squeezed in a few meetings at the hotel before boarding the buses again.",,,
10,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y,"Output will be gradually increased until it reaches about 11,000 barrels a day.",,,
11,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y,"The Artist has his routine. He spends his days sketching passers-by, or trying to. At night he returns to the condemned building he calls home.",(Implicit=then) ,,
12,Temporal.Asynchronous.Succession,Temporal,Asynchronous,Succession,y,"William Gates and Paul Allen in 1975 developed an early language-housekeeper system for PCs, and Gates became an industry billionaire six years after IBM adapted one of these versions in 1981.",,,
13,Temporal.Asynchronous.Succession,Temporal,Asynchronous,Succession,y,"John D. Carney, 45, was named to succeed Mr. Hatch as president of Eastern Edison. Previously he was vice president of Eastern Edison. ",,,
14,Temporal.Asynchronous.Succession,Temporal,Asynchronous,Succession,y,"Pressed on the matter, he is more specific",(Implicit=when),,
15,contingency.cause.reason,contingency,cause,reason,y,"The world being the nasty place it is, we want Presidents to have the freedom to order operations in which someone might get killed.",(Implicit=As a result of) ,FAs with explicit subjects,
16,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"Runways at San Francisco weren’t damaged, but traffic was being limited yesterday to 27 arrivals and 27 departures an hour – down from 33 to 45 an hour normally – mainly because the noise level in the control tower was overwhelming without the windows, an FAA spokeswoman said.",,,
17,contingency.cause.reason,contingency,cause,reason,y," Inflation surging, the pound began falling against the mark. ",(Implicit=With),FAs with explicit subjects,
